Time,Red Objects,Yellow Objects,Green Objects,Total Energy (Red),Total Energy (Yellow),Total Energy (Green)
137,11,42,1,1087.9337890628658,2792.271093750402,44.45000000000316
138,11,42,1,1054.9337890628676,2707.5710937504036,42.95000000000324
139,10,41,4,1041.7814453128358,2608.196093750399,336.95000000000357
140,10,40,4,1059.3142578128432,2479.3632812503947,330.9500000000039
141,10,37,4,1159.4955078128653,2269.0820312503643,324.95000000000425
142,10,37,4,1129.4955078128667,2195.082031250365,318.9500000000046
143,12,36,4,1272.219628906653,2062.7664062503586,312.95000000000493
144,14,32,3,1612.232128906729,1859.5671875003143,215.95000000000476
145,14,32,3,1570.232128906731,1795.5671875003152,211.45000000000505
146,16,31,3,1648.638769531772,1714.2796875003064,206.95000000000522
147,18,28,3,1739.7196289068152,1616.2546875002836,202.45000000000536
148,18,27,3,1732.5985351568286,1513.9757812502737,197.9500000000055
149,18,27,3,1678.5985351568313,1459.9757812502746,193.45000000000567
150,18,27,2,1624.5985351568333,1488.1757812502765,106.95000000000479
151,18,24,2,1629.3625976568449,1376.7835937502489,103.95000000000485
152,18,24,2,1575.3625976568467,1328.783593750249,100.95000000000492
153,18,24,2,1521.3625976568487,1279.3835937502495,97.95000000000498
154,18,24,2,1467.3625976568508,1230.4835937502498,94.95000000000505
155,18,24,2,1413.3625976568528,1182.48359375025,91.9500000000051
156,18,23,2,1409.6266601568643,1086.019531250241,88.95000000000518
157,18,21,2,1403.6907226568756,992.0640625002252,85.95000000000523
158,18,20,2,1349.6907226568776,951.0726562502184,82.9500000000053
159,18,19,2,1305.023535156885,903.5398437502132,79.95000000000536
160,20,18,2,1575.6622070319304,703.289843750198,76.95000000000543
161,18,15,8,1523.5450195318442,670.4585937501702,664.950000000006
162,18,14,8,1473.2778320318507,638.7257812501647,652.9500000000066
163,18,14,8,1419.2778320318516,610.1257812501647,640.9500000000072
164,18,14,8,1365.2778320318523,582.1257812501647,628.9500000000078
165,18,13,8,1348.02783203186,518.0757812501578,616.9500000000085
166,18,11,8,1294.027832031861,490.91328125012984,604.950000000009
167,18,11,7,1240.0278320318619,468.91328125012996,593.500000000006
168,18,11,7,1186.0278320318628,446.91328125013,583.0000000000066
169,20,10,7,1296.9413085944161,362.0976562501139,572.5000000000073
170,20,10,7,1236.9413085944175,341.9976562501139,562.0000000000078
171,20,9,7,1176.9413085944186,323.71875000010334,551.5000000000084
172,17,7,16,1130.9424804693251,305.58750000008945,1427.5000000000098
173,17,5,16,1144.3174804693479,229.91250000006772,1403.5000000000111
174,17,5,16,1093.317480469349,219.91250000006772,1379.5000000000125
175,17,5,16,1042.3174804693501,209.91250000006775,1355.5000000000139
176,17,5,16,991.3174804693509,199.51250000006783,1331.5000000000152
177,17,5,16,940.317480469352,189.51250000006792,1307.5000000000166
178,17,5,16,889.317480469353,179.41250000006798,1283.500000000018
179,17,5,16,838.3174804693541,169.4125000000681,1259.5000000000193
180,16,5,19,791.2307617193269,159.4125000000682,1531.000000000021
181,16,5,19,743.2307617193279,149.4125000000683,1502.5000000000225
182,16,5,19,695.2307617193288,139.41250000006838,1474.000000000024
183,12,3,31,667.5046875004576,131.86250000004682,2627.500000000027
184,11,3,34,636.3633789066728,125.7625000000469,2876.5000000000296
185,11,3,34,603.3633789066732,119.762500000047,2825.5000000000323
186,10,2,37,575.9283203128842,114.18125000003,3070.0000000000355
187,10,2,37,545.9283203128847,110.18125000003013,3014.5000000000387
188,10,2,37,515.9283203128853,106.18125000003025,2959.000000000042
189,9,2,40,490.4591796878488,102.18125000003037,3199.000000000045
190,9,2,40,463.4591796878493,98.18125000003049,3139.000000000048
191,9,2,40,436.4591796878498,94.18125000003062,3079.0000000000514
192,9,2,40,409.4591796878504,89.98125000003073,3019.000000000055
193,9,1,40,382.45917968785085,86.33125000001868,2959.000000000058
194,9,1,40,355.4591796878508,84.3312500000188,2899.0000000000614
195,9,1,40,328.45917968785074,82.23125000001892,2839.0000000000646
196,8,1,43,305.3958984378179,80.23125000001903,3074.500000000068
197,8,1,43,281.3958984378178,78.23125000001914,3010.000000000072
198,7,1,46,262.5978515627738,76.13125000001926,3241.0000000000755
199,7,1,46,241.5978515627739,74.13125000001938,3172.0000000000796
200,7,1,46,220.59785156277397,72.0312500000195,3103.000000000083
201,7,1,46,199.59785156277388,70.03125000001961,3034.0000000000873
202,7,1,46,178.59785156277374,68.03125000001972,2965.000000000091
203,7,1,46,157.59785156277357,65.93125000001984,2896.000000000095
204,7,1,46,136.5978515627734,63.93125000001995,2827.0000000000987
205,4,1,53,132.1042968751592,161.18125000002004,3546.5000000000996
206,4,1,53,120.10429687515902,159.18125000002016,3467.0000000001037
207,4,1,53,108.10429687515885,157.18125000002027,3387.500000000108
208,4,1,53,96.10429687515868,155.18125000002038,3308.0000000001114
209,4,1,53,84.10429687515854,153.1812500000205,3228.5000000001155
210,4,1,53,72.10429687515852,151.1812500000206,3149.000000000119
211,4,1,53,60.104296875158525,149.18125000002073,3069.5000000001232
212,4,1,53,48.10429687515851,147.18125000002084,2990.000000000127
213,4,1,53,36.10429687515849,145.08125000002096,2910.500000000131
214,4,1,53,24.104296875158443,143.08125000002107,2831.0000000001346
215,4,1,53,12.104296875158397,141.08125000002119,2751.5000000001387
216,1,1,62,16.63828125005928,139.0812500000213,3558.5000000001432
217,1,1,62,13.63828125005928,137.0812500000214,3465.5000000001473
218,1,1,62,10.63828125005929,135.08125000002153,3372.500000000151
219,1,1,62,7.6382812500593005,132.98125000002165,3279.5000000001546
220,1,1,62,4.638281250059311,130.98125000002176,3186.5000000001583
221,1,1,62,1.6382812500593111,128.98125000002187,3093.500000000162
222,1,1,62,-1.3617187499406895,126.98125000002199,3000.500000000166
223,0,1,65,0,124.9812500000221,3203.00000000017
224,0,1,65,0,122.98125000002221,3105.500000000174
225,0,1,65,0,120.98125000002233,3008.000000000178
226,0,1,65,0,118.98125000002244,2910.500000000182
227,0,1,59,0,116.88125000002256,2816.000000000164
228,0,1,59,0,114.78125000002268,2727.5000000001673
229,0,1,59,0,112.7812500000228,2639.000000000169
230,0,1,59,0,110.78125000002291,2550.5000000001714
231,0,1,59,0,108.78125000002302,2462.0000000001733
232,0,1,59,0,106.78125000002314,2373.5000000001755
233,0,1,59,0,104.68125000002325,2285.0000000001774
234,0,1,59,0,102.68125000002337,2196.500000000179
235,0,1,59,0,100.68125000002348,2108.000000000181
236,0,1,59,0,98.6812500000236,2019.5000000001826
237,0,1,59,0,96.68125000002371,1931.0000000001844
238,0,1,50,0,94.68125000002382,1847.0000000001542
239,0,1,50,0,92.68125000002394,1772.000000000156
240,0,1,50,0,90.68125000002405,1697.0000000001576
241,0,1,49,0,104.9312500000278,1606.0000000001555
242,0,1,49,0,102.83125000002792,1532.500000000157
243,0,1,48,0,142.83125000003133,1417.5000000001548
244,0,1,47,0,197.7312500000339,1289.0000000001537
245,0,1,47,0,195.731250000034,1218.500000000155
246,0,3,43,0,345.4468750000566,1112.5000000001423
247,0,3,42,0,391.94687500005966,996.0000000001409
248,0,3,42,0,385.94687500006,933.0000000001421
249,0,3,30,0,379.94687500006034,876.0000000001007
250,0,3,27,0,373.9468750000607,832.500000000091
